6578,60,0.0086247998810154
6578,6105,0.00156984060402685
6578,2341,0.00301540825257434
6578,1712,0.00269445791849351
6578,2337,0.0132691780632726
11270,60,0.000195712954334
11270,6105,0.000694960212202
11270,2341,0.00133842749008513
11270,1712,0.0028418891013832
11270,2337,0.001
10562,60,4.59103761e-06
10562,6105,0.010001440460948
10562,2341,0.00429452870954003
10562,1712,0.00261020949314225
10562,2337,1.972269885e-06
11614,60,1.716502455e-06
11614,6105,0.0102192331721973
11614,2341,0.000367881709592072
11614,1712,0.00674744374976767
11614,2337,1.716502455e-06
9215,60,5.5820164553e-05
9215,6105,0.001
9215,2341,0.000203974819678189
9215,1712,0.001
9215,2337,0.001